#miRNA	read_count	precursor	total	seq	seq(norm)
mmu-miR-12193-3p	0.00	mmu-mir-12193	0.00	0	0
mmu-miR-12194-3p	0.00	mmu-mir-12194	0.00	0	0
mmu-miR-12195-5p	0.00	mmu-mir-12195	0.00	0	0
mmu-miR-12195-3p	0.00	mmu-mir-12195	0.00	0	0
mmu-miR-12196-5p	0.00	mmu-mir-12196	0.00	0	0
mmu-miR-12196-3p	0.00	mmu-mir-12196	0.00	0	0
mmu-miR-12197-3p	0.00	mmu-mir-12197	0.00	0	0
mmu-miR-12198-3p	0.00	mmu-mir-12198	0.00	0	0
mmu-miR-12199-3p	0.00	mmu-mir-12199	0.00	0	0
mmu-miR-122-5p	8.00	mmu-mir-122	8.00	8.00	2460.02
mmu-miR-122-3p	0.00	mmu-mir-122	0.00	0	0
mmu-miR-12200-5p	0.00	mmu-mir-12200	0.00	0	0
mmu-miR-12200-3p	0.00	mmu-mir-12200	0.00	0	0
mmu-miR-12201-5p	0.00	mmu-mir-12201	0.00	0	0
mmu-miR-12201-3p	0.00	mmu-mir-12201	0.00	0	0
mmu-miR-12202-5p	0.00	mmu-mir-12202	0.00	0	0
mmu-miR-12202-3p	0.00	mmu-mir-12202	0.00	0	0
mmu-miR-12203-5p	0.00	mmu-mir-12203	0.00	0	0
mmu-miR-12203-3p	0.00	mmu-mir-12203	0.00	0	0
mmu-miR-12204-5p	0.00	mmu-mir-12204	0.00	0	0
mmu-miR-12205-5p	0.00	mmu-mir-12205	0.00	0	0
mmu-miR-12205-3p	0.00	mmu-mir-12205	0.00	0	0
mmu-miR-12206-5p	0.00	mmu-mir-12206	0.00	0	0
mmu-miR-1224-5p	0.00	mmu-mir-1224	0.00	0	0
mmu-miR-1224-3p	0.00	mmu-mir-1224	0.00	0	0
mmu-miR-122b-5p	0.00	mmu-mir-122b	0.00	0	0
mmu-miR-122b-3p	0.00	mmu-mir-122b	0.00	0	0
mmu-miR-1231-5p	0.00	mmu-mir-1231	0.00	0	0
mmu-miR-1231-3p	0.00	mmu-mir-1231	0.00	0	0
mmu-miR-124-5p	0.00	mmu-mir-124-1	0.00	0	0
mmu-miR-124-3p	0.00	mmu-mir-124-1	0.00	0	0
mmu-miR-124-5p	0.00	mmu-mir-124-2	0.00	0	0
mmu-miR-124-3p	0.00	mmu-mir-124-2	0.00	0	0
mmu-miR-124-5p	0.00	mmu-mir-124-3	0.00	0	0
mmu-miR-124-3p	0.00	mmu-mir-124-3	0.00	0	0
mmu-miR-1247-5p	0.00	mmu-mir-1247	0.00	0	0
mmu-miR-1247-3p	0.00	mmu-mir-1247	0.00	0	0
mmu-miR-1249-5p	0.00	mmu-mir-1249	0.00	0	0
mmu-miR-1249-3p	0.00	mmu-mir-1249	0.00	0	0
mmu-miR-124b-3p	0.00	mmu-mir-124b	0.00	0	0
mmu-miR-1251-5p	0.00	mmu-mir-1251	0.00	0	0
mmu-miR-1251-3p	0.00	mmu-mir-1251	0.00	0	0
mmu-miR-1258-5p	0.00	mmu-mir-1258	0.00	0	0
mmu-miR-1258-3p	0.00	mmu-mir-1258	0.00	0	0
mmu-miR-125a-5p	6.00	mmu-mir-125a	6.00	6.00	1845.02
mmu-miR-125a-3p	0.00	mmu-mir-125a	0.00	0	0
mmu-miR-125b-5p	4.00	mmu-mir-125b-1	4.00	4.00	1230.01
mmu-miR-125b-1-3p	0.00	mmu-mir-125b-1	0.00	0	0
mmu-miR-125b-5p	4.00	mmu-mir-125b-2	4.00	4.00	1230.01
mmu-miR-125b-2-3p	0.00	mmu-mir-125b-2	0.00	0	0
mmu-miR-1264-5p	0.00	mmu-mir-1264	0.00	0	0
mmu-miR-1264-3p	0.00	mmu-mir-1264	0.00	0	0
mmu-miR-126a-5p	0.00	mmu-mir-126a	0.00	0	0
mmu-miR-126a-3p	0.00	mmu-mir-126a	0.00	0	0
mmu-miR-126b-5p	0.00	mmu-mir-126b	0.00	0	0
mmu-miR-126b-3p	0.00	mmu-mir-126b	0.00	0	0
mmu-miR-127-5p	0.00	mmu-mir-127	0.00	0	0
mmu-miR-127-3p	0.00	mmu-mir-127	0.00	0	0
mmu-miR-1271-5p	0.00	mmu-mir-1271	0.00	0	0
mmu-miR-1271-3p	0.00	mmu-mir-1271	0.00	0	0
mmu-miR-128-1-5p	0.00	mmu-mir-128-1	0.00	0	0
mmu-miR-128-3p	0.00	mmu-mir-128-1	0.00	0	0
mmu-miR-128-3p	0.00	mmu-mir-128-2	0.00	0	0
mmu-miR-128-2-5p	0.00	mmu-mir-128-2	0.00	0	0
mmu-miR-129-5p	0.00	mmu-mir-129-1	0.00	0	0
mmu-miR-129-1-3p	0.00	mmu-mir-129-1	0.00	0	0
mmu-miR-129-5p	0.00	mmu-mir-129-2	0.00	0	0
mmu-miR-129-2-3p	0.00	mmu-mir-129-2	0.00	0	0
mmu-miR-1291	0.00	mmu-mir-1291	0.00	0	0
mmu-miR-1298-5p	0.00	mmu-mir-1298	0.00	0	0
mmu-miR-1298-3p	0.00	mmu-mir-1298	0.00	0	0
mmu-miR-129b-5p	0.00	mmu-mir-129b	0.00	0	0
mmu-miR-129b-3p	0.00	mmu-mir-129b	0.00	0	0
mmu-miR-1306-5p	0.00	mmu-mir-1306	0.00	0	0
mmu-miR-1306-3p	0.00	mmu-mir-1306	0.00	0	0
mmu-miR-130a-5p	0.00	mmu-mir-130a	0.00	0	0
mmu-miR-130a-3p	1.00	mmu-mir-130a	1.00	1.00	307.50
mmu-miR-130b-5p	0.00	mmu-mir-130b	0.00	0	0
mmu-miR-130b-3p	0.00	mmu-mir-130b	0.00	0	0
mmu-miR-130c	0.00	mmu-mir-130c	0.00	0	0
mmu-miR-132-5p	0.00	mmu-mir-132	0.00	0	0
mmu-miR-132-3p	0.00	mmu-mir-132	0.00	0	0
mmu-miR-133a-5p	0.00	mmu-mir-133a-1	0.00	0	0
mmu-miR-133a-3p	0.00	mmu-mir-133a-1	0.00	0	0
mmu-miR-133a-5p	0.00	mmu-mir-133a-2	0.00	0	0
mmu-miR-133a-3p	0.00	mmu-mir-133a-2	0.00	0	0
mmu-miR-133b-5p	0.00	mmu-mir-133b	0.00	0	0
mmu-miR-133b-3p	0.00	mmu-mir-133b	0.00	0	0
mmu-miR-133c	0.00	mmu-mir-133c	0.00	0	0
mmu-miR-134-5p	0.00	mmu-mir-134	0.00	0	0
mmu-miR-134-3p	0.00	mmu-mir-134	0.00	0	0
mmu-miR-135a-5p	0.00	mmu-mir-135a-1	0.00	0	0
mmu-miR-135a-1-3p	0.00	mmu-mir-135a-1	0.00	0	0
mmu-miR-135a-5p	0.00	mmu-mir-135a-2	0.00	0	0
mmu-miR-135a-2-3p	0.00	mmu-mir-135a-2	0.00	0	0
mmu-miR-135b-5p	0.00	mmu-mir-135b	0.00	0	0
mmu-miR-135b-3p	0.00	mmu-mir-135b	0.00	0	0
mmu-miR-136-5p	0.00	mmu-mir-136	0.00	0	0
mmu-miR-136-3p	0.00	mmu-mir-136	0.00	0	0
mmu-miR-137-5p	0.00	mmu-mir-137	0.00	0	0
mmu-miR-137-3p	0.00	mmu-mir-137	0.00	0	0
mmu-miR-138-5p	1.00	mmu-mir-138-1	1.00	1.00	307.50
mmu-miR-138-1-3p	0.00	mmu-mir-138-1	0.00	0	0
mmu-miR-138-5p	1.00	mmu-mir-138-2	1.00	1.00	307.50
mmu-miR-138-2-3p	0.00	mmu-mir-138-2	0.00	0	0
mmu-miR-139-5p	0.00	mmu-mir-139	0.00	0	0
mmu-miR-139-3p	0.00	mmu-mir-139	0.00	0	0
mmu-miR-140-5p	1.00	mmu-mir-140	1.00	1.00	307.50
mmu-miR-140-3p	124.00	mmu-mir-140	124.00	124.00	38130.38
mmu-miR-141-5p	0.00	mmu-mir-141	0.00	0	0
mmu-miR-141-3p	0.00	mmu-mir-141	0.00	0	0
mmu-miR-142a-5p	0.00	mmu-mir-142a	0.00	0	0
mmu-miR-142a-3p	0.00	mmu-mir-142a	0.00	0	0
mmu-miR-142b	0.00	mmu-mir-142b	0.00	0	0
mmu-miR-143-5p	0.00	mmu-mir-143	0.00	0	0
mmu-miR-143-3p	23.00	mmu-mir-143	23.00	23.00	7072.57
mmu-miR-144-5p	0.00	mmu-mir-144	0.00	0	0
mmu-miR-144-3p	1.00	mmu-mir-144	1.00	1.00	307.50
mmu-miR-145a-5p	0.00	mmu-mir-145a	0.00	0	0
mmu-miR-145a-3p	0.00	mmu-mir-145a	0.00	0	0
mmu-miR-145b	0.00	mmu-mir-145b	0.00	0	0
mmu-miR-146a-5p	0.00	mmu-mir-146a	0.00	0	0
mmu-miR-146a-3p	0.00	mmu-mir-146a	0.00	0	0
mmu-miR-146b-5p	0.00	mmu-mir-146b	0.00	0	0
mmu-miR-146b-3p	0.00	mmu-mir-146b	0.00	0	0
mmu-miR-147-5p	0.00	mmu-mir-147	0.00	0	0
mmu-miR-147-3p	0.00	mmu-mir-147	0.00	0	0
mmu-miR-148a-5p	0.00	mmu-mir-148a	0.00	0	0
mmu-miR-148a-3p	183.00	mmu-mir-148a	183.00	183.00	56273.06
mmu-miR-148b-5p	0.00	mmu-mir-148b	0.00	0	0
mmu-miR-148b-3p	0.00	mmu-mir-148b	0.00	0	0
mmu-miR-149-5p	5.00	mmu-mir-149	5.00	5.00	1537.52
mmu-miR-149-3p	0.00	mmu-mir-149	0.00	0	0
mmu-miR-150-5p	0.00	mmu-mir-150	0.00	0	0
mmu-miR-150-3p	0.00	mmu-mir-150	0.00	0	0
mmu-miR-151-5p	1.00	mmu-mir-151	1.00	1.00	307.50
mmu-miR-151-3p	8.00	mmu-mir-151	8.00	8.00	2460.02
mmu-miR-152-5p	0.00	mmu-mir-152	0.00	0	0
mmu-miR-152-3p	113.00	mmu-mir-152	113.00	113.00	34747.85
mmu-miR-153-5p	0.00	mmu-mir-153	0.00	0	0
mmu-miR-153-3p	0.00	mmu-mir-153	0.00	0	0
mmu-miR-154-5p	0.00	mmu-mir-154	0.00	0	0
mmu-miR-154-3p	0.00	mmu-mir-154	0.00	0	0
mmu-miR-155-5p	0.00	mmu-mir-155	0.00	0	0
mmu-miR-155-3p	0.00	mmu-mir-155	0.00	0	0
mmu-miR-15a-5p	0.00	mmu-mir-15a	0.00	0	0
mmu-miR-15a-3p	0.00	mmu-mir-15a	0.00	0	0
mmu-miR-15b-5p	2.00	mmu-mir-15b	2.00	2.00	615.01
mmu-miR-15b-3p	0.00	mmu-mir-15b	0.00	0	0
mmu-miR-16-5p	17.00	mmu-mir-16-1	17.00	17.00	5227.55
mmu-miR-16-1-3p	0.00	mmu-mir-16-1	0.00	0	0
mmu-miR-16-5p	18.00	mmu-mir-16-2	18.00	18.00	5535.06
mmu-miR-16-2-3p	0.00	mmu-mir-16-2	0.00	0	0
mmu-miR-1668	0.00	mmu-mir-1668	0.00	0	0
mmu-miR-17-5p	0.00	mmu-mir-17	0.00	0	0
mmu-miR-17-3p	0.00	mmu-mir-17	0.00	0	0
mmu-miR-181a-5p	244.00	mmu-mir-181a-1	244.00	244.00	75030.75
mmu-miR-181a-1-3p	8.00	mmu-mir-181a-1	8.00	8.00	2460.02
mmu-miR-181a-5p	224.00	mmu-mir-181a-2	224.00	224.00	68880.69
mmu-miR-181a-2-3p	0.00	mmu-mir-181a-2	0.00	0	0
mmu-miR-181b-5p	89.00	mmu-mir-181b-1	89.00	89.00	27367.77
mmu-miR-181b-1-3p	0.00	mmu-mir-181b-1	0.00	0	0
mmu-miR-181b-5p	94.00	mmu-mir-181b-2	94.00	94.00	28905.29
mmu-miR-181b-2-3p	0.00	mmu-mir-181b-2	0.00	0	0
mmu-miR-181c-5p	4.00	mmu-mir-181c	4.00	4.00	1230.01
mmu-miR-181c-3p	0.00	mmu-mir-181c	0.00	0	0
mmu-miR-181d-5p	5.00	mmu-mir-181d	5.00	5.00	1537.52
mmu-miR-181d-3p	0.00	mmu-mir-181d	0.00	0	0
mmu-miR-182-5p	0.00	mmu-mir-182	0.00	0	0
mmu-miR-182-3p	0.00	mmu-mir-182	0.00	0	0
mmu-miR-183-5p	0.00	mmu-mir-183	0.00	0	0
mmu-miR-183-3p	0.00	mmu-mir-183	0.00	0	0
mmu-miR-1839-5p	2.00	mmu-mir-1839	2.00	2.00	615.01
mmu-miR-1839-3p	0.00	mmu-mir-1839	0.00	0	0
mmu-miR-184-5p	0.00	mmu-mir-184	0.00	0	0
mmu-miR-184-3p	0.00	mmu-mir-184	0.00	0	0
mmu-miR-1843a-5p	0.00	mmu-mir-1843a	0.00	0	0
mmu-miR-1843a-3p	0.00	mmu-mir-1843a	0.00	0	0
mmu-miR-1843b-5p	0.00	mmu-mir-1843b	0.00	0	0
mmu-miR-1843b-3p	0.00	mmu-mir-1843b	0.00	0	0
mmu-miR-185-5p	0.00	mmu-mir-185	0.00	0	0
mmu-miR-185-3p	0.00	mmu-mir-185	0.00	0	0
mmu-miR-186-5p	1.00	mmu-mir-186	1.00	1.00	307.50
mmu-miR-186-3p	0.00	mmu-mir-186	0.00	0	0
mmu-miR-187-5p	0.00	mmu-mir-187	0.00	0	0
mmu-miR-187-3p	0.00	mmu-mir-187	0.00	0	0
mmu-miR-188-5p	0.00	mmu-mir-188	0.00	0	0
mmu-miR-188-3p	0.00	mmu-mir-188	0.00	0	0
mmu-miR-1892	0.00	mmu-mir-1892	0.00	0	0
mmu-miR-1893	0.00	mmu-mir-1893	0.00	0	0
mmu-miR-1894-5p	0.00	mmu-mir-1894	0.00	0	0
mmu-miR-1894-3p	0.00	mmu-mir-1894	0.00	0	0
mmu-miR-1895	0.00	mmu-mir-1895	0.00	0	0
mmu-miR-1896	0.00	mmu-mir-1896	0.00	0	0
mmu-miR-1897-5p	0.00	mmu-mir-1897	0.00	0	0
mmu-miR-1897-3p	0.00	mmu-mir-1897	0.00	0	0
mmu-miR-1898	0.00	mmu-mir-1898	0.00	0	0
mmu-miR-1899	0.00	mmu-mir-1899	0.00	0	0
mmu-miR-18a-5p	0.00	mmu-mir-18a	0.00	0	0
mmu-miR-18a-3p	0.00	mmu-mir-18a	0.00	0	0
mmu-miR-18b-5p	0.00	mmu-mir-18b	0.00	0	0
mmu-miR-18b-3p	0.00	mmu-mir-18b	0.00	0	0
mmu-miR-1900	0.00	mmu-mir-1900	0.00	0	0
mmu-miR-1901	0.00	mmu-mir-1901	0.00	0	0
mmu-miR-1902	0.00	mmu-mir-1902	0.00	0	0
mmu-miR-1903	0.00	mmu-mir-1903	0.00	0	0
mmu-miR-1904	0.00	mmu-mir-1904	0.00	0	0
mmu-miR-1905	0.00	mmu-mir-1905	0.00	0	0
mmu-miR-1906	0.00	mmu-mir-1906-1	0.00	0	0
mmu-miR-1906	0.00	mmu-mir-1906-2	0.00	0	0
mmu-miR-1907	0.00	mmu-mir-1907	0.00	0	0
mmu-miR-190a-5p	0.00	mmu-mir-190a	0.00	0	0
mmu-miR-190a-3p	0.00	mmu-mir-190a	0.00	0	0
mmu-miR-190b-5p	0.00	mmu-mir-190b	0.00	0	0
mmu-miR-190b-3p	0.00	mmu-mir-190b	0.00	0	0
mmu-miR-191-5p	9.00	mmu-mir-191	9.00	9.00	2767.53
mmu-miR-191-3p	0.00	mmu-mir-191	0.00	0	0
mmu-miR-1911-5p	0.00	mmu-mir-1911	0.00	0	0
mmu-miR-1911-3p	0.00	mmu-mir-1911	0.00	0	0
mmu-miR-1912-5p	0.00	mmu-mir-1912	0.00	0	0
mmu-miR-1912-3p	0.00	mmu-mir-1912	0.00	0	0
mmu-miR-192-5p	0.00	mmu-mir-192	0.00	0	0
mmu-miR-192-3p	0.00	mmu-mir-192	0.00	0	0
mmu-miR-1927	0.00	mmu-mir-1927	0.00	0	0
mmu-miR-1928	0.00	mmu-mir-1928	0.00	0	0
mmu-miR-1929-5p	0.00	mmu-mir-1929	0.00	0	0
mmu-miR-1929-3p	0.00	mmu-mir-1929	0.00	0	0
mmu-miR-1930-5p	0.00	mmu-mir-1930	0.00	0	0
mmu-miR-1930-3p	0.00	mmu-mir-1930	0.00	0	0
mmu-miR-1931	0.00	mmu-mir-1931	0.00	0	0
mmu-miR-1932	0.00	mmu-mir-1932	0.00	0	0
mmu-miR-1933-5p	0.00	mmu-mir-1933	0.00	0	0
mmu-miR-1933-3p	0.00	mmu-mir-1933	0.00	0	0
mmu-miR-1934-5p	0.00	mmu-mir-1934	0.00	0	0
mmu-miR-1934-3p	0.00	mmu-mir-1934	0.00	0	0
mmu-miR-1936	0.00	mmu-mir-1936	0.00	0	0
mmu-miR-1938	0.00	mmu-mir-1938	0.00	0	0
mmu-miR-193a-5p	0.00	mmu-mir-193a	0.00	0	0
mmu-miR-193a-3p	0.00	mmu-mir-193a	0.00	0	0
mmu-miR-193b-5p	0.00	mmu-mir-193b	0.00	0	0
mmu-miR-193b-3p	0.00	mmu-mir-193b	0.00	0	0
mmu-miR-194-5p	0.00	mmu-mir-194-1	0.00	0	0
mmu-miR-194-1-3p	0.00	mmu-mir-194-1	0.00	0	0
mmu-miR-194-5p	0.00	mmu-mir-194-2	0.00	0	0
mmu-miR-194-2-3p	0.00	mmu-mir-194-2	0.00	0	0
mmu-miR-1941-5p	0.00	mmu-mir-1941	0.00	0	0
mmu-miR-1941-3p	0.00	mmu-mir-1941	0.00	0	0
mmu-miR-1942	0.00	mmu-mir-1942	0.00	0	0
mmu-miR-1943-5p	0.00	mmu-mir-1943	0.00	0	0
mmu-miR-1943-3p	0.00	mmu-mir-1943	0.00	0	0
mmu-miR-1945	0.00	mmu-mir-1945	0.00	0	0
mmu-miR-1946a	0.00	mmu-mir-1946a	0.00	0	0
mmu-miR-1946b	0.00	mmu-mir-1946b	0.00	0	0
mmu-miR-1947-5p	0.00	mmu-mir-1947	0.00	0	0
mmu-miR-1947-3p	0.00	mmu-mir-1947	0.00	0	0
mmu-miR-1948-5p	0.00	mmu-mir-1948	0.00	0	0
mmu-miR-1948-3p	0.00	mmu-mir-1948	0.00	0	0
mmu-miR-1949	0.00	mmu-mir-1949	0.00	0	0
mmu-miR-1950	0.00	mmu-mir-1950	0.00	0	0
mmu-miR-1951	0.00	mmu-mir-1951	0.00	0	0
mmu-miR-1952	0.00	mmu-mir-1952	0.00	0	0
mmu-miR-1953	0.00	mmu-mir-1953	0.00	0	0
mmu-miR-1954	0.00	mmu-mir-1954	0.00	0	0
mmu-miR-1955-5p	0.00	mmu-mir-1955	0.00	0	0
mmu-miR-1955-3p	0.00	mmu-mir-1955	0.00	0	0
mmu-miR-1956	0.00	mmu-mir-1956	0.00	0	0
mmu-miR-1958	0.00	mmu-mir-1958	0.00	0	0
mmu-miR-195a-5p	7.00	mmu-mir-195a	7.00	7.00	2152.52
mmu-miR-195a-3p	0.00	mmu-mir-195a	0.00	0	0
mmu-miR-195b	0.00	mmu-mir-195b	0.00	0	0
mmu-miR-1960	0.00	mmu-mir-1960	0.00	0	0
mmu-miR-1961	0.00	mmu-mir-1961	0.00	0	0
mmu-miR-1962	0.00	mmu-mir-1962	0.00	0	0
mmu-miR-1963	0.00	mmu-mir-1963	0.00	0	0
mmu-miR-1964-5p	0.00	mmu-mir-1964	0.00	0	0
mmu-miR-1964-3p	0.00	mmu-mir-1964	0.00	0	0
mmu-miR-1966-5p	0.00	mmu-mir-1966	0.00	0	0
mmu-miR-1966-3p	0.00	mmu-mir-1966	0.00	0	0
mmu-miR-1967	0.00	mmu-mir-1967	0.00	0	0
mmu-miR-1968-5p	0.00	mmu-mir-1968	0.00	0	0
mmu-miR-1968-3p	0.00	mmu-mir-1968	0.00	0	0
mmu-miR-1969	0.00	mmu-mir-1969	0.00	0	0
mmu-miR-196a-5p	1.00	mmu-mir-196a-1	1.00	1.00	307.50
mmu-miR-196a-1-3p	0.00	mmu-mir-196a-1	0.00	0	0
mmu-miR-196a-5p	0.00	mmu-mir-196a-2	0.00	0	0
mmu-miR-196a-2-3p	0.00	mmu-mir-196a-2	0.00	0	0
mmu-miR-196b-5p	3.00	mmu-mir-196b	3.00	3.00	922.51
mmu-miR-196b-3p	0.00	mmu-mir-196b	0.00	0	0
mmu-miR-1970	0.00	mmu-mir-1970	0.00	0	0
mmu-miR-1970b-5p	0.00	mmu-mir-1970b	0.00	0	0
mmu-miR-1970c-5p	0.00	mmu-mir-1970c	0.00	0	0
mmu-miR-1970c-3p	0.00	mmu-mir-1970c	0.00	0	0
mmu-miR-1971	0.00	mmu-mir-1971	0.00	0	0
mmu-miR-1981-5p	0.00	mmu-mir-1981	0.00	0	0
mmu-miR-1981-3p	0.00	mmu-mir-1981	0.00	0	0
mmu-miR-1982-5p	0.00	mmu-mir-1982	0.00	0	0
mmu-miR-1982-3p	0.00	mmu-mir-1982	0.00	0	0
mmu-miR-1983	0.00	mmu-mir-1983	0.00	0	0
mmu-miR-199a-5p	182.00	mmu-mir-199a-1	182.00	182.00	55965.56
mmu-miR-199a-3p	144.00	mmu-mir-199a-1	144.00	144.00	44280.44
mmu-miR-199a-5p	230.00	mmu-mir-199a-2	230.00	230.00	70725.71
mmu-miR-199a-3p	144.00	mmu-mir-199a-2	144.00	144.00	44280.44
mmu-miR-199b-5p	14.00	mmu-mir-199b	14.00	14.00	4305.04
mmu-miR-199b-3p	144.00	mmu-mir-199b	144.00	144.00	44280.44
mmu-miR-19a-5p	0.00	mmu-mir-19a	0.00	0	0
mmu-miR-19a-3p	0.00	mmu-mir-19a	0.00	0	0
mmu-miR-19b-3p	0.00	mmu-mir-19b-1	0.00	0	0
